date,category,description,amount,type
2025-03-15,Salary,Monthly salary,5000.0,income
2025-02-13,Salary,Monthly salary,5000.0,income
2025-01-14,Salary,Monthly salary,5000.0,income
2024-12-15,Salary,Monthly salary,5000.0,income
2024-11-15,Salary,Monthly salary,5000.0,income
2024-10-16,Salary,Monthly salary,5000.0,income
2025-01-29,Investments,Stock dividend,320.5,income
2025-02-28,Side Business,Freelance work,750.0,income
2025-03-20,Housing,Rent payment,1644.0,expense
2025-03-06,Housing,Home insurance,1545.6,expense
2025-03-27,Housing,Property maintenance,1449.0,expense
2025-03-17,Food,Grocery shopping,346.5,expense
2025-03-28,Food,Restaurant dinner,108.48,expense
2025-03-10,Food,Lunch at work,80.4,expense
2025-03-05,Transportation,Car payment,318.6,expense
2025-03-07,Transportation,Fuel,80.92,expense
2025-03-21,Transportation,Public transit,47.9,expense
2025-03-20,Utilities,Electricity bill,110.4,expense
2025-03-23,Utilities,Water bill,58.44,expense
2025-03-02,Utilities,Internet service,76.32,expense
2025-03-01,Entertainment,Movie tickets,26.3,expense
2025-03-19,Entertainment,Concert tickets,85.12,expense
2025-03-25,Entertainment,Streaming services,29.52,expense
2025-03-04,Healthcare,Doctor visit,95.0,expense
2025-03-22,Healthcare,Prescription medication,37.28,expense
2025-03-25,Healthcare,Health insurance,192.4,expense
2025-02-06,Housing,Rent payment,1485.0,expense
2025-02-18,Housing,Home insurance,1673.6,expense
2025-02-01,Housing,Property maintenance,1551.0,expense
2025-02-08,Food,Grocery shopping,333.9,expense
2025-02-12,Food,Restaurant dinner,124.56,expense
2025-02-17,Food,Lunch at work,78.9,expense
2025-02-12,Transportation,Car payment,289.8,expense
2025-02-02,Transportation,Fuel,85.51,expense
2025-02-09,Transportation,Public transit,47.1,expense
2025-02-07,Utilities,Electricity bill,108.96,expense
2025-02-14,Utilities,Water bill,60.36,expense
2025-02-20,Utilities,Internet service,81.76,expense
2025-02-26,Entertainment,Movie tickets,25.75,expense
2025-02-27,Entertainment,Concert tickets,76.48,expense
2025-02-15,Entertainment,Streaming services,31.5,expense
2025-02-28,Healthcare,Doctor visit,102.8,expense
2025-02-10,Healthcare,Prescription medication,43.68,expense
2025-02-15,Healthcare,Health insurance,194.0,expense
2025-01-18,Housing,Rent payment,1548.0,expense
2025-01-28,Housing,Home insurance,1568.0,expense
